year,avg_temp
1841,22.19
1842,22.51
1843,22.60
1844,22.23
1845,22.29
1846,22.88
1847,22.55
1848,22.12
1849,22.44
1850,22.62
1851,22.67
1852,22.68
1853,23.05
1854,23.00
1855,22.58
1856,22.17
1857,22.63
1858,22.42
1859,22.63
1860,22.55
1861,22.41
1862,21.67
1863,22.22
1864,22.05
1865,22.53
1866,22.63
1867,22.51
1868,23.03
1869,22.99
1870,23.09
1871,23.03
1872,23.06
1873,22.68
1874,22.87
1875,22.61
1876,22.31
1877,22.82
1878,22.88
1879,22.91
1880,22.27
1881,22.56
1882,22.44
1883,22.32
1884,21.88
1885,22.06
1886,21.92
1887,22.48
1888,22.97
1889,22.68
1890,22.85
1891,22.65
1892,22.46
1893,22.18
1894,22.69
1895,22.45
1896,22.79
1897,23.06
1898,22.84
1899,22.37
1900,22.71
1901,22.49
1902,23.07
1903,22.41
1904,22.27
1905,22.60
1906,22.79
1907,22.68
1908,22.66
1909,23.05
1910,22.69
1911,22.62
1912,22.70
1913,22.66
1914,23.11
1915,23.40
1916,22.72
1917,22.06
1918,22.27
1919,22.85
1920,22.72
1921,22.73
1922,22.94
1923,22.75
1924,22.83
1925,22.38
1926,22.75
1927,22.54
1928,23.01
1929,22.88
1930,23.08
1931,23.21
1932,22.65
1933,23.00
1934,22.65
1935,23.15
1936,22.80
1937,23.45
1938,23.31
1939,22.79
1940,22.93
1941,23.68
1942,23.51
1943,23.04
1944,23.17
1945,22.72
1946,23.73
1947,22.83
1948,23.43
1949,23.46
1950,23.17
1951,23.12
1952,23.57
1953,23.39
1954,23.54
1955,23.05
1956,23.13
1957,23.02
1958,23.24
1959,23.66
1960,23.56
1961,23.48
1962,23.09
1963,23.24
1964,23.41
1965,23.39
1966,23.82
1967,22.99
1968,22.83
1969,23.10
1970,23.09
1971,22.92
1972,23.12
1973,23.52
1974,23.21
1975,23.50
1976,22.95
1977,23.43
1978,23.38
1979,23.47
1980,23.53
1981,23.28
1982,23.25
1983,23.55
1984,22.92
1985,22.91
1986,23.03
1987,23.49
1988,23.24
1989,23.24
1990,23.40
1991,23.62
1992,23.14
1993,23.59
1994,23.93
1995,23.15
1996,23.29
1997,23.51
1998,24.45
1999,23.71
2000,23.62
2001,23.79
2002,24.16
2003,23.91
2004,23.67
2005,23.55
2006,24.12
2007,24.03
2008,23.71
2009,23.93
2010,23.76
2011,23.34
2012,23.59
2013,24.00
