year,avg_temp
1841,20.29
1842,20.64
1843,20.73
1844,20.39
1845,20.47
1846,21.02
1847,20.76
1848,20.25
1849,20.59
1850,20.80
1851,20.78
1852,20.82
1853,21.18
1854,21.15
1855,20.78
1856,20.40
1857,20.85
1858,20.58
1859,20.79
1860,20.63
1861,20.56
1862,19.77
1863,20.34
1864,20.16
1865,20.51
1866,20.77
1867,20.54
1868,21.13
1869,21.15
1870,21.24
1871,21.26
1872,21.23
1873,20.83
1874,20.97
1875,20.71
1876,20.51
1877,20.90
1878,20.95
1879,21.12
1880,20.43
1881,20.73
1882,20.58
1883,20.49
1884,20.07
1885,20.21
1886,20.08
1887,20.69
1888,21.12
1889,20.80
1890,21.09
1891,20.79
1892,20.66
1893,20.34
1894,20.92
1895,20.55
1896,20.95
1897,21.08
1898,21.04
1899,20.59
1900,20.91
1901,20.56
1902,21.20
1903,20.54
1904,20.50
1905,20.75
1906,21.03
1907,20.82
1908,20.95
1909,21.24
1910,20.81
1911,20.86
1912,20.81
1913,20.84
1914,21.26
1915,21.52
1916,21.08
1917,20.18
1918,20.48
1919,20.89
1920,20.86
1921,20.90
1922,21.10
1923,20.93
1924,20.91
1925,20.55
1926,20.88
1927,20.60
1928,21.07
1929,21.04
1930,21.26
1931,21.26
1932,20.87
1933,21.10
1934,20.83
1935,21.26
1936,20.87
1937,21.55
1938,21.53
1939,20.90
1940,20.96
1941,21.71
1942,21.48
1943,21.21
1944,21.33
1945,20.89
1946,21.96
1947,21.07
1948,21.63
1949,21.57
1950,21.18
1951,21.38
1952,21.70
1953,21.64
1954,21.71
1955,21.12
1956,21.28
1957,21.18
1958,21.41
1959,21.71
1960,21.71
1961,21.74
1962,21.14
1963,21.39
1964,21.63
1965,21.40
1966,21.88
1967,21.24
1968,21.04
1969,21.22
1970,21.25
1971,21.20
1972,21.28
1973,21.61
1974,21.33
1975,21.49
1976,21.08
1977,21.80
1978,21.48
1979,21.57
1980,21.55
1981,21.38
1982,21.35
1983,21.64
1984,20.98
1985,21.24
1986,21.17
1987,21.61
1988,21.40
1989,21.40
1990,21.73
1991,21.80
1992,21.14
1993,21.64
1994,21.98
1995,21.31
1996,21.52
1997,21.65
1998,22.59
1999,21.94
2000,21.87
2001,22.02
2002,22.44
2003,22.17
2004,21.90
2005,21.72
2006,22.36
2007,22.29
2008,21.92
2009,22.11
2010,21.85
2011,21.47
2012,21.67
2013,22.09
