year,avg_temp
1841,21.35
1842,21.73
1843,21.82
1844,21.47
1845,21.57
1846,22.09
1847,21.86
1848,21.36
1849,21.68
1850,21.88
1851,21.85
1852,21.89
1853,22.22
1854,22.22
1855,21.89
1856,21.54
1857,21.94
1858,21.67
1859,21.87
1860,21.70
1861,21.65
1862,20.86
1863,21.44
1864,21.25
1865,22.16
1866,21.84
1867,21.71
1868,22.16
1869,22.22
1870,22.28
1871,22.34
1872,22.28
1873,21.90
1874,22.04
1875,21.73
1876,21.58
1877,21.98
1878,22.03
1879,22.21
1880,21.54
1881,21.82
1882,21.67
1883,21.61
1884,21.16
1885,21.32
1886,21.16
1887,21.78
1888,22.19
1889,21.89
1890,22.21
1891,21.83
1892,21.75
1893,21.44
1894,22.00
1895,21.62
1896,22.04
1897,22.26
1898,22.23
1899,21.73
1900,22.07
1901,21.56
1902,22.17
1903,21.68
1904,21.57
1905,21.98
1906,22.24
1907,21.91
1908,22.05
1909,22.36
1910,21.93
1911,22.00
1912,22.03
1913,22.05
1914,22.28
1915,22.60
1916,22.27
1917,21.19
1918,21.59
1919,21.98
1920,22.02
1921,21.90
1922,22.11
1923,21.91
1924,21.90
1925,21.57
1926,21.80
1927,21.69
1928,22.05
1929,22.01
1930,22.43
1931,22.39
1932,21.94
1933,22.24
1934,21.86
1935,22.26
1936,21.98
1937,22.58
1938,22.49
1939,21.88
1940,21.99
1941,22.73
1942,22.56
1943,22.13
1944,22.24
1945,21.96
1946,22.82
1947,22.01
1948,22.56
1949,22.57
1950,22.27
1951,22.52
1952,22.88
1953,22.76
1954,22.94
1955,22.27
1956,22.46
1957,22.40
1958,22.55
1959,22.80
1960,22.78
1961,22.79
1962,22.22
1963,22.21
1964,22.69
1965,22.38
1966,22.86
1967,22.24
1968,21.93
1969,22.32
1970,22.39
1971,22.27
1972,22.33
1973,22.73
1974,22.47
1975,22.59
1976,22.22
1977,22.95
1978,22.50
1979,22.61
1980,22.70
1981,22.43
1982,22.47
1983,22.79
1984,22.20
1985,22.45
1986,22.13
1987,22.79
1988,22.68
1989,22.50
1990,22.81
1991,22.91
1992,22.39
1993,22.77
1994,23.12
1995,22.44
1996,22.67
1997,22.86
1998,23.78
1999,23.04
2000,23.10
2001,23.15
2002,23.45
2003,23.22
2004,22.93
2005,22.78
2006,23.38
2007,23.38
2008,23.02
2009,23.14
2010,23.00
2011,22.55
2012,22.82
2013,23.24
